,version,cbd_points,ols_r2,ols_rmse,ols_mae,ols_cbd_coef,ols_cbd_pval,ols_resid_moran,slm_r2,slm_rmse,slm_mae,slm_rho,slm_cbd_coef,slm_cbd_z,slm_cbd_pval
V1_기존,V1_기존,"['여의도', '강남', '광화문']",0.7284520201023228,0.3916606893446859,13942.468761623879,-0.1432827372391735,3.04806022462342e-51,0.6133326252084799,0.8660103202184658,0.27512013150387454,8378.626284738271,0.46608257008040255,-0.069018255351466,-10.369750039679028,0.0
V2_기존+관악,V2_기존+관악,"['여의도', '강남', '광화문', '서울대학교정문', '서울대입구역(관악구청)', '신림역상권']",0.7302519963367627,0.3903604548994927,13770.549529964257,0.33624008923525656,2.1274854414290915e-180,0.6152661775303768,0.8660855971298052,0.2750428378518445,8323.344605645163,0.4623713107800995,0.19701104654109258,19.203131641674176,0.0
V3_관악단독,V3_관악단독,"['서울대학교정문', '서울대입구역(관악구청)', '신림역상권']",0.7302519963367627,0.3903604548994927,13770.549529964257,0.33624008923525656,2.1274854414290915e-180,0.6152661775303768,0.8660855971298052,0.2750428378518445,8323.344605645163,0.4623713107800995,0.19701104654109258,19.203131641674176,0.0
